! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id|Name|Latitude|Longitude|Elevation|Physical_Element|DateTime_Report(UTC)|Amount|Units|Zip_Code|
MMNV1|MT. MANSFIELD|44.52480|-72.81540|1190 meters|snowdepth|2023-04-12 20|170.180|cm|05672|
HLSN3|HERMIT LAKE SNOTEL|44.26130|-71.28320|1151 meters|snowdepth|2023-04-13 00|117.399|cm|00176|
GKBN3|GRAY KNOB|44.33260|-71.30930|1329 meters|snowdepth|2023-04-12 11|114.300|cm|00181|
CRNN3|CARTER NOTCH|44.25940|-71.19550|1008 meters|snowdepth|2023-04-12 11|109.220|cm|00168|
TRLB3|TROUSER LAKE NEW BRUNSWICK SNOW SURVEY SITE|47.03330|-66.98330|406 meters|snowdepth|2023-04-12 12|93.980|cm||
SSRB3|SISSON RIDGE NEW BRUNSWICK SNOW SURVEY SITE|46.93330|-67.43330|211 meters|snowdepth|2023-04-12 12|81.280|cm||
SQFB3|ST. QUENTIN (F) NEW BRUNSWICK SNOW SURVEY SITE|47.50000|-67.25000|323 meters|snowdepth|2023-04-12 12|81.280|cm||
LLNB3|LONG LAKE NEW BRUNSWICK SNOW SURVEY SITE|47.06700|-66.91700|380 meters|snowdepth|2023-04-12 12|81.280|cm||
SLAB3|SERPENTINE LAKE NEW BRUNSWICK SNOW SURVEY SITE|47.15000|-66.88330|419 meters|snowdepth|2023-04-12 12|78.740|cm||
NICB3|NICTAU FORKS NEW BRUNSWICK SNOW SURVEY SITE|47.25000|-67.16700|191 meters|snowdepth|2023-04-12 12|71.120|cm||
HARB3|HARRISON RIDGE NEW BRUNSWICK SNOW SURVEY SITE|46.98300|-67.10000|434 meters|snowdepth|2023-04-12 12|71.120|cm||
ZFHN3|ZEALAND FALLS HUT|44.19590|-71.49440|805 meters|snowdepth|2023-04-12 11|66.040|cm|03574|
QUIB3|QUISIBIS NEW BRUNSWICK SNOW SURVEY SITE|47.26700|-68.03300|168 meters|snowdepth|2023-04-12 12|66.040|cm||
BFBB3|BIG FORKS BR. NEW BRUNSWICK SNOW SURVEY SITE|47.28300|-67.70000|293 meters|snowdepth|2023-04-12 12|66.040|cm||
OXBB3|OXBOW NEW BRUNSWICK SNOW SURVEY SITE|47.01700|-67.30000|166 meters|snowdepth|2023-04-12 12|60.960|cm||
LLHN3|LONESOME LAKE HUT|44.13820|-71.70310|846 meters|snowdepth|2023-04-12 11|60.960|cm|03251|
VT-CL-3|GROTON 4.4 WSW, VT|44.19440|-72.28240|519 meters|snowdepth|2023-04-12 10|58.420|cm|05046|
SR1V1|SLEEPERS RIVER SNOW SITE NUMBER 1|44.49940|-72.18110|633 meters|snowdepth|2023-04-12 12|58.420|cm|05873|
TOBB3|TOBIQUE NARROWS NEW BRUNSWICK SNOW SURVEY SITE|46.78330|-67.70000|97 meters|snowdepth|2023-04-12 12|55.880|cm||
MAPB3|MAPLEVIEW NEW BRUNSWICK SNOW SURVEY SITE|46.91700|-67.40000|164 meters|snowdepth|2023-04-12 12|55.880|cm||
BRZN3|BREEZY POINT|43.98000|-71.80000|710 meters|snowdepth|2023-04-12 12|55.880|cm|03279|
ME-AR-18|NEW SWEDEN 4.9 NNW, ME|47.01080|-68.14390|256 meters|snowdepth|2023-04-12 11|48.260|cm|04762|
HENN6|HENDERSON LEANTO|44.11100|-74.05960|565 meters|snowdepth|2023-04-12 12|48.260|cm|12852|
HALB3|HALEY BROOK NEW BRUNSWICK SNOW SURVEY SITE|47.15000|-67.25000|181 meters|snowdepth|2023-04-12 12|48.260|cm||
BRAM1|BRASSUA DAM|45.66020|-69.81190|318 meters|snowdepth|2023-04-12 11|48.260|cm|04478|
BEEB3|BEECHWOOD NEW BRUNSWICK SNOW SURVEY SITE|46.55000|-67.63300|171 meters|snowdepth|2023-04-12 12|45.720|cm||
SR2V1|SLEEPERS RIVER SNOW SITE NUMBER 2|44.48140|-72.16580|550 meters|snowdepth|2023-04-12 12|43.180|cm|05873|
SR3V1|SLEEPERS RIVER SNOW SITE NUMBER 3|44.51000|-72.12810|451 meters|snowdepth|2023-04-12 12|40.640|cm|05828|
RKWM1|MOOSEHEAD LAKE|45.58330|-69.71670|315 meters|snowdepth|2023-04-12 11|38.100|cm|04478|
KILB3|KILMARNOCK NEW BRUNSWICK SNOW SURVEY SITE|46.15000|-67.41700|203 meters|snowdepth|2023-04-12 12|38.100|cm||
VT-OL-12|GREENSBORO 3.9 NNE, VT|44.63100|-72.28000|634 meters|snowdepth|2023-04-12 13|35.560|cm|05841|
SHOB3|SHOGOMOC NEW BRUNSWICK SNOW SURVEY SITE|45.95000|-67.31700|88 meters|snowdepth|2023-04-12 12|35.560|cm||
BECB3|BECAGUIMEC RIVER NEW BRUNSWICK SNOW SURVEY SITE|46.23300|-67.30000|124 meters|snowdepth|2023-04-12 12|35.560|cm||
SPRB3|SPRINGFIELD NEW BRUNSWICK SNOW SURVEY SITE|46.03330|-67.13330|200 meters|snowdepth|2023-04-12 12|33.020|cm||
MACB3|MACTAQUAC NEW BRUNSWICK SNOW SURVEY SITE|45.96700|-66.86700|112 meters|snowdepth|2023-04-12 12|33.020|cm||
ELKN6|ELK LAKE ROAD|43.98970|-73.83000|611 meters|snowdepth|2023-04-12 12|33.020|cm|12855|
WTVN3|WATERVILLE VALLEY|43.97000|-71.52000|512 meters|snowdepth|2023-04-12 12|30.480|cm|03223|
NH-CR-15|JACKSON 3.7 NW, NH|44.19069|-71.22598|363 meters|snowdepth|2023-04-12 11|30.480|cm|03846|
FLUN3|THE FLUME|44.10000|-71.68000|435 meters|snowdepth|2023-04-12 12|30.480|cm|03251|
FISM1|FORT KENT COOP|47.23850|-68.61240|198 meters|snowdepth|2023-04-12 11|30.480|cm|04743|
CANN3|CANNON MOUNTAIN-BASE|44.17000|-71.68000|686 meters|snowdepth|2023-04-12 12|30.480|cm|03580|
BORN6|BLUE RIDGE ROAD AT BOREAS RIVER|43.94730|-74.02450|639 meters|snowdepth|2023-04-12 12|30.480|cm|12857|
VSHV1|VERSHIRE SNOW COURSE|43.98640|-72.37310|586 meters|snowdepth|2023-04-12 12|27.940|cm|05079|
RGNM1|RANGELEY 2NW|44.98940|-70.67220|540 meters|snowdepth|2023-04-12 10|27.940|cm|04970|
NORN6|NORTHWOODS CLUB ROAD|43.82480|-74.08840|585 meters|snowdepth|2023-04-12 12|27.940|cm|12857|
MMSV1|MOUNT MANSFIELD|44.53330|-72.83330|697 meters|snowdepth|2023-04-13 00|27.940|cm|05489|
SR9V1|SLEEPERS RIVER SNOW SITE NUMBER 9|44.45000|-72.06720|226 meters|snowdepth|2023-04-12 12|25.400|cm|05828|
SR6V1|SLEEPERS RIVER SNOW SITE NUMBER 6|44.47670|-72.12560|359 meters|snowdepth|2023-04-12 12|25.400|cm|05828|
MTHV1|MOUNT HOLLY VT SNOW SURVEY|43.43180|-72.76350|449 meters|snowdepth|2023-04-12 12|25.400|cm|05758|
ME-FR-2|TEMPLE 1.8 W, ME|44.68329|-70.26420|361 meters|snowdepth|2023-04-12 11|25.400|cm|04984|
GIBB3|GIBSON MILLSTREAM NEW BRUNSWICK SNOW SURVEY SITE|46.06700|-67.55000|62 meters|snowdepth|2023-04-12 12|25.400|cm||
GHUV1|GOODHUE LEDGES SNOW COURSE|43.96860|-72.29500|327 meters|snowdepth|2023-04-12 12|25.400|cm|05079|
BARV1|SILVER LAKE AT BARNARD VT SNOW COURSE|43.72510|-72.61060|449 meters|snowdepth|2023-04-12 12|25.400|cm|05091|
TAHN6|TAHAWUS UPPER WORKS|44.04290|-74.05900|539 meters|snowdepth|2023-04-12 12|22.860|cm|12852|
STTV1|STRATTON MOUNTAIN|43.13330|-72.88330|519 meters|snowdepth|2023-04-12 12|22.860|cm|05343|
SR5V1|SLEEPERS RIVER SNOW SITE NUMBER 5|44.50520|-72.05130|410 meters|snowdepth|2023-04-12 12|22.860|cm|05819|
NH-CR-26|CENTER SANDWICH 4.9 E, NH|43.80976|-71.34150|229 meters|snowdepth|2023-04-12 11|22.860|cm|03227|
ESDN3|EAST SANDWICH|43.80990|-71.34250|224 meters|snowdepth|2023-04-12 10|22.860|cm|03227|
CORV1|CORINTH|44.00690|-72.31940|366 meters|snowdepth|2023-04-12 11|22.860|cm|05039|
CAN-NB-64|KESWICK RIDGE 4.0 SE, CAN|45.97014|-66.85538|95 meters|snowdepth|2023-04-12 12|21.590|cm||
VT-WR-2|POMFRET 2.6 N, VT|43.74230|-72.52550|468 meters|snowdepth|2023-04-12 11|20.320|cm|05068|
SVYV1|SNOW VALLEY|43.20000|-72.96670|605 meters|snowdepth|2023-04-12 12|20.320|cm|05340|
SBPV1|SHERBURNE PASS VT SNOW SURVEY|43.66270|-72.83150|651 meters|snowdepth|2023-04-12 12|20.320|cm|05751|
RDGV1|READING HILL VT SNOW SURVEY|43.53330|-72.55000|471 meters|snowdepth|2023-04-12 12|20.320|cm|05062|
ME-FR-22|FARMINGTON 4.8 NNW, ME|44.73396|-70.18007|205 meters|snowdepth|2023-04-12 13|20.320|cm|04938|
ME-AR-15|PRESQUE ISLE 1.3 WSW, ME|46.67960|-68.01270|154 meters|snowdepth|2023-04-12 11|20.320|cm|04769|
CARM1|CARIBOU WFO|46.86810|-68.01250|191 meters|snowdepth|2023-04-12 12|20.320|cm|04736|
CAR|CARIBOU, ME|46.86830|-68.01360|187 meters|snowdepth|2023-04-12 12|20.320|cm|04736|
VT-OL-11|EAST CRAFTSBURY 0.8 NE, VT|44.65023|-72.32970|448 meters|snowdepth|2023-04-12 12|17.780|cm|05826|
VANM1|VAN BUREN|47.16600|-67.93900|138 meters|snowdepth|2023-04-12 11|17.780|cm|04785|
STRV1|STRAFFORD SNOW COURSE|43.89330|-72.40060|357 meters|snowdepth|2023-04-12 12|17.780|cm|05072|
GRFB3|GRAND FALLS NEW BRUNSWICK SNOW SURVEY SITE|47.06700|-67.76700|172 meters|snowdepth|2023-04-12 12|17.780|cm||
DFXM1|DOVER-FOXCROFT|45.18720|-69.18350|99 meters|snowdepth|2023-04-12 11|17.780|cm|04426|
NH-MR-60|SOUTH SUTTON 1.3 SE, NH|43.29531|-71.90238|180 meters|snowdepth|2023-04-12 12|16.510|cm|03278|
TWDV1|TWEED RIVER SNOW COURSE|43.77170|-72.76220|247 meters|snowdepth|2023-04-12 12|15.240|cm|05772|
PINV1|PINNEY HOLLOW VT SNOW SURVEY|43.53780|-72.69510|574 meters|snowdepth|2023-04-12 12|15.240|cm|05056|
GHMN3|PINKHAM NOTCH|44.25800|-71.25250|620 meters|snowdepth|2023-04-12 10|15.240|cm|00177|
CTLV1|COUNTY LINE SNOW COURSE|43.82470|-72.40280|488 meters|snowdepth|2023-04-12 12|15.240|cm|05070|
SUTV1|SUTTON|44.61220|-72.04810|451 meters|snowdepth|2023-04-12 11|12.700|cm|05867|
MWN|MOUNT WASHINGTON|44.26670|-71.30000|1715 meters|snowdepth|2023-04-12 12|12.700|cm|00176|
KMWN|MOUNT WASHINGTON|44.26666|-71.30000|1715 meters|snowdepth|2023-04-13 00|12.700|cm|00176|
BALV1|BALL MTN DAM|43.13330|-72.76670|402 meters|snowdepth|2023-04-12 12|12.700|cm|05343|
NH-GR-49|PLYMOUTH 3.7 N, NH|43.79048|-71.68413|265 meters|snowdepth|2023-04-12 11|11.430|cm|03223|
WTNV1|WESTON|43.29030|-72.76330|571 meters|snowdepth|2023-04-12 12|10.160|cm|05143|
BEEN3|BEECH|42.93000|-72.07000|430 meters|snowdepth|2023-04-12 12|10.160|cm|03450|
NY-HM-1|SPECULATOR 10.0 SSW, NY|43.45133|-74.47120|520 meters|snowdepth|2023-04-12 11|8.636|cm|12108|
SR8V1|SLEEPERS RIVER SNOW SITE NUMBER 8|44.49440|-72.13970|481 meters|snowdepth|2023-04-12 12|7.620|cm|05828|
NY-WR-21|BRANT LAKE 1.7 ENE, NY|43.68223|-73.71838|383 meters|snowdepth|2023-04-12 11|7.620|cm|12815|
ME-FR-4|NEW SHARON 2.0 NW, ME|44.66582|-70.02720|124 meters|snowdepth|2023-04-12 11|7.620|cm|04955|
BELB3|BELLEVILLE NEW BRUNSWICK SNOW SURVEY SITE|46.21700|-67.71700|117 meters|snowdepth|2023-04-12 12|7.620|cm||
NY-ES-6|OLMSTEDVILLE 4.6 NNE, NY|43.83350|-73.89780|462 meters|snowdepth|2023-04-12 12|6.350|cm|12857|
VT-WS-30|WOODBURY 3.4 NNW, VT|44.48825|-72.43258|495 meters|snowdepth|2023-04-12 11|5.080|cm|05681|
VT-OG-13|WEST FAIRLEE 1.8 ENE, VT|43.92138|-72.23051|234 meters|snowdepth|2023-04-12 11|5.080|cm|05045|
SVMM3|SAVOY MTN SNOW|42.65730|-73.01280|562 meters|snowdepth|2023-04-12 12|5.080|cm|01343|
RANM1|RANGELEY|44.98910|-70.67190|540 meters|snowdepth|2023-04-12 10|5.080|cm|04970|
PROV1|PROCTOR-PIPER STATE FOREST SNOW SURVEY|43.38190|-72.62310|318 meters|snowdepth|2023-04-12 12|5.080|cm|05142|
PERV1|PERU|43.26670|-72.90000|557 meters|snowdepth|2023-04-12 11|5.080|cm|05148|
NCBN6|NEWCOMB|43.97070|-74.22200|506 meters|snowdepth|2023-04-12 11|5.080|cm|12852|
LPLN6|LAKE PLACID 2 S|44.30420|-73.98390|572 meters|snowdepth|2023-04-12 12|5.080|cm|12946|
LBKV1|LYE BROOK|43.05000|-73.03330|724 meters|snowdepth|2023-04-13 00|5.080|cm|05250|
GODN6|GOODNOW FLOW ROAD|43.93080|-74.20330|556 meters|snowdepth|2023-04-12 12|5.080|cm|12852|
WWOM3|WEST WORTHINGTON SNOW SURVEY|42.43000|-72.97000|554 meters|snowdepth|2023-04-12 12|2.540|cm|01098|
VT-OL-1|WESTFIELD 0.7 WNW, VT|44.89160|-72.44350|328 meters|snowdepth|2023-04-12 11|2.540|cm|05874|
VT-OG-16|STRAFFORD 2.4 SSE, VT|43.83333|-72.35555|310 meters|snowdepth|2023-04-12 10|2.540|cm|05070|
VT-OG-10|BRAINTREE 2.8 SW, VT|43.93570|-72.74830|490 meters|snowdepth|2023-04-12 11|2.540|cm|05060|
NH-MR-6|DANBURY 2.2 ESE, NH|43.52000|-71.81900|297 meters|snowdepth|2023-04-12 12|2.540|cm|03243|
NH-CS-19|CARROLL 4.6 NE, NH|44.33765|-71.46461|525 meters|snowdepth|2023-04-12 11|2.540|cm|03598|
ME-OX-2|HARTFORD 1.4 N, ME|44.39318|-70.34760|170 meters|snowdepth|2023-04-12 12|2.540|cm|04221|
ME-FR-26|FARMINGTON 3.9 N, ME|44.72423|-70.15934|199 meters|snowdepth|2023-04-12 12|2.540|cm|04938|
JKMM1|JACKMAN|45.62600|-70.24600|369 meters|snowdepth|2023-04-12 11|2.540|cm|04945|
ISLV1|ISLAND POND|44.81280|-71.89020|359 meters|snowdepth|2023-04-12 12|2.540|cm|05846|
BETM1|BETHEL 6 SSE|44.32000|-70.75680|243 meters|snowdepth|2023-04-12 11|2.540|cm|04255|
BABV1|BABCOCK BROOK SNOW COURSE|43.59310|-72.44740|316 meters|snowdepth|2023-04-12 12|2.540|cm|05048|
AVLV1|AVERILL|44.99880|-71.70980|519 meters|snowdepth|2023-04-12 23|2.540|cm|05907|
VT-WR-17|ROCHESTER 2.3 NE, VT|43.89418|-72.76992|614 meters|snowdepth|2023-04-12 11|1.270|cm|05767|
NH-CR-48|EFFINGHAM 2.1 N, NH|43.79142|-70.99176|131 meters|snowdepth|2023-04-12 12|1.016|cm|03814|
WORV1|WORCESTER 2 W|44.37470|-72.58220|399 meters|snowdepth|2023-04-12 11|0.003|cm|05682|
VT-WS-19|WATERBURY 3.0 NW, VT|44.36060|-72.80770|147 meters|snowdepth|2023-04-12 10|0.003|cm|05676|
VT-WH-30|MARLBORO 2.0 NNE, VT|42.88484|-72.70935|458 meters|snowdepth|2023-04-12 12|0.003|cm|05301|
VT-CL-18|WHEELOCK 1.6 S, VT|44.56491|-72.08830|363 meters|snowdepth|2023-04-12 11|0.003|cm|05851|
VT-BN-3|LANDGROVE 1.1 NNE, VT|43.29092|-72.83260|554 meters|snowdepth|2023-04-12 11|0.003|cm|05148|
TMWN3|TAMWORTH 4|43.86390|-71.26610|164 meters|snowdepth|2023-04-12 11|0.003|cm|03886|
ROBM1|ROBBINSTON|45.08520|-67.12050|42 meters|snowdepth|2023-04-12 04|0.003|cm|04671|
PTBN3|PITTSBURG RESERVOIR|45.04690|-71.38300|405 meters|snowdepth|2023-04-12 12|0.003|cm|03592|
NY-WR-10|WARRENSBURG 2.1 WNW, NY|43.51784|-73.81069|208 meters|snowdepth|2023-04-12 12|0.003|cm|12885|
NY-SR-22|GREENFIELD CENTER 1.6 W, NY|43.12684|-73.87860|189 meters|snowdepth|2023-04-12 11|0.003|cm|12833|
NY-HR-18|SALISBURY CENTER 1.8 NW, NY|43.16260|-74.80880|420 meters|snowdepth|2023-04-12 11|0.003|cm|13365|
NY-FK-7|SARANAC LAKE 6.2 N, NY|44.41359|-74.15211|525 meters|snowdepth|2023-04-12 11|0.003|cm|12983|
NY-ES-12|SARANAC LAKE 2.7 SSE, NY|44.29104|-74.10437|474 meters|snowdepth|2023-04-12 12|0.003|cm|12983|
NWSM1|NEW SHARON|44.63520|-70.00020|142 meters|snowdepth|2023-04-12 11|0.003|cm|04955|
NH-MR-4|BOW 1.6 NW, NH|43.14994|-71.55650|148 meters|snowdepth|2023-04-12 11|0.003|cm|03304|
NH-CR-27|TAMWORTH 0.4 NNW, NH|43.86449|-71.26610|164 meters|snowdepth|2023-04-12 11|0.003|cm|03886|
NEWN3|NEWPORT|43.37720|-72.18120|237 meters|snowdepth|2023-04-12 11|0.003|cm|03773|
MRLV1|MARLBORO|42.88460|-72.70930|459 meters|snowdepth|2023-04-12 11|0.003|cm|05301|
ME-AN-41|AUBURN 2.1 NNW, ME|44.11275|-70.26452|83 meters|snowdepth|2023-04-12 11|0.003|cm|04210|
HRTM1|HARTFORD|44.37440|-70.31620|216 meters|snowdepth|2023-04-12 11|0.003|cm|04221|
HOLM1|HOLLIS|43.64750|-70.67490|95 meters|snowdepth|2023-04-12 11|0.003|cm|04042|
HMYM1|HARMONY|44.94660|-69.54560|100 meters|snowdepth|2023-04-12 11|0.003|cm|04942|
VT-OL-26|CRAFTSBURY COMMON 0.8 NW, VT|44.66338|-72.39245|278 meters|snowdepth|2023-04-12 11|0.002|cm|05827|
NH-ST-31|STRAFFORD 2.9 N, NH|43.31175|-71.13510|296 meters|snowdepth|2023-04-12 12|0.002|cm|03867|
NH-HL-103|TEMPLE 1.2 ENE, NH|42.82600|-71.82923|282 meters|snowdepth|2023-04-12 11|0.002|cm|03084|
ME-YK-67|CORNISH 5.6 ESE, ME|43.78308|-70.69539|102 meters|snowdepth|2023-04-12 11|0.002|cm|04020|
ME-YK-3|HOLLIS CENTER 5.4 NW, ME|43.64750|-70.67510|95 meters|snowdepth|2023-04-12 11|0.002|cm|04042|
ME-SM-3|PALMYRA 3.5 NW, ME|44.87180|-69.41952|117 meters|snowdepth|2023-04-12 11|0.002|cm|04965|
ME-OX-26|OXFORD 5.3 SW, ME|44.09787|-70.59612|179 meters|snowdepth|2023-04-12 12|0.002|cm|04270|
ME-KX-10|UNION 2.1 NNE, ME|44.23693|-69.27170|54 meters|snowdepth|2023-04-12 11|0.002|cm|04862|
ME-CM-3|NEW GLOUCESTER 3.0 SE, ME|43.92372|-70.25790|38 meters|snowdepth|2023-04-12 11|0.002|cm|04260|
ME-CM-138|FREEPORT 3.0 ENE, ME|43.87733|-70.04650|62 meters|snowdepth|2023-04-12 11|0.002|cm|04032|
ME-CM-137|GRAY 1.5 NE, ME|43.90006|-70.30903|81 meters|snowdepth|2023-04-12 11|0.002|cm|04039|
ME-CM-125|GRAY 2.9 SSE, ME|43.84640|-70.31340|113 meters|snowdepth|2023-04-12 11|0.002|cm|04039|
MA-HS-7|PLAINFIELD 2.2 SW, MA|42.49272|-72.94540|428 meters|snowdepth|2023-04-12 12|0.002|cm|01070|
CAN-NB-98|HOYT 4.2 S, CAN|45.54763|-66.55440|131 meters|snowdepth|2023-04-12 10|0.002|cm||
CAN-NB-7|CHAMCOOK 6.1 NNW, CAN|45.17149|-67.08163|43 meters|snowdepth|2023-04-12 10|0.002|cm||
CAN-NB-104|PENNFIELD RIDGE 2.7 SSW, CAN|45.09355|-66.71389|52 meters|snowdepth|2023-04-12 10|0.002|cm||
CAN-NB-1|FREDERICTON 4.0 SSE, CA|45.92897|-66.62830|68 meters|snowdepth|2023-04-12 11|0.002|cm||
ZBWN3|NASHUA CWSU|42.73440|-71.48030|51 meters|snowdepth|2023-04-12 11|0.000|cm|03062|
WVLM1|WATERVILLE TREATMENT PLT|44.52720|-69.65440|17 meters|snowdepth|2023-04-12 11|0.000|cm|04901|
WTPC3|WEST THOMPSON LAKE|41.94420|-71.90310|113 meters|snowdepth|2023-04-12 11|0.000|cm|06255|
WTOC3|WEST TORRINGTON|41.80000|-73.13330|204 meters|snowdepth|2023-04-12 12|0.000|cm|06790|
WSTN6|WESTMORELAND 4 N|43.15950|-75.46110|168 meters|snowdepth|2023-04-12 11|0.000|cm|13440|
WSTM3|WESTFIELD 3 SW|42.09310|-72.80350|129 meters|snowdepth|2023-04-12 12|0.000|cm|01077|
WREN3|EVERETT LAKE|43.08000|-71.65000|148 meters|snowdepth|2023-04-12 12|0.000|cm|03281|
WPTN6|WEST POINT,NY|41.39060|-73.96080|97 meters|snowdepth|2023-04-12 11|0.000|cm|10996|
WNSR1|WOONSOCKET|41.98440|-71.49070|43 meters|snowdepth|2023-04-12 12|0.000|cm|02895|
WNDM1|WINDHAM 2NW|43.85670|-70.46630|118 meters|snowdepth|2023-04-12 11|0.000|cm|04062|
WLMN6|WILMURT LAKE|43.43330|-74.73330|815 meters|snowdepth|2023-04-12 12|0.000|cm|13353|
WLEM3|WALES SNOW SURVEY|42.07000|-72.23000|313 meters|snowdepth|2023-04-12 12|0.000|cm|01081|
WITN6|WHITNEY POINT DAM|42.34180|-75.96530|312 meters|snowdepth|2023-04-12 11|0.000|cm|13862|
WINC3|MAD RIVER RSVR|41.93140|-73.09250|290 meters|snowdepth|2023-04-12 12|0.000|cm|06098|
WHTN6|WHITESVILLE|42.05980|-77.75530|666 meters|snowdepth|2023-04-12 11|0.000|cm|14897|
WHPN3|HOPKINTON LAKE|43.18900|-71.74600|128 meters|snowdepth|2023-04-12 11|0.000|cm|03229|
WHLN6|WHITE LAKE|43.56670|-75.13330|480 meters|snowdepth|2023-04-12 12|0.000|cm|13338|
WHDM3|WEST HILL DAM SNOW SURVEY|42.10000|-71.62000|78 meters|snowdepth|2023-04-12 12|0.000|cm|01569|
WCFM3|WEST CHESTERFIELD|42.40000|-72.88330|315 meters|snowdepth|2023-04-12 12|0.000|cm|01084|
WBRM3|WEST BROOKFIELD SNOW SURVEY|42.22000|-72.13000|186 meters|snowdepth|2023-04-12 12|0.000|cm|01506|
VT-WS-11|WAITSFIELD 1.8 SE, VT|44.17551|-72.79540|351 meters|snowdepth|2023-04-12 10|0.000|cm|05673|
VT-WS-10|NORTHFIELD 1.5 N, VT|44.16986|-72.65200|213 meters|snowdepth|2023-04-12 11|0.000|cm|05663|
VT-RT-7|RUTLAND 1.2 N, VT|43.62533|-72.97790|192 meters|snowdepth|2023-04-12 11|0.000|cm|05701|
VT-RT-28|SHREWSBURY 0.8 W, VT|43.50806|-72.88238|445 meters|snowdepth|2023-04-12 11|0.000|cm|05738|
VT-RT-25|WALLINGFORD 2.7 SSW, VT|43.43371|-72.99031|188 meters|snowdepth|2023-04-12 11|0.000|cm|05773|
VT-OL-9|GREENSBORO 2.1 NNW, VT|44.60528|-72.30940|461 meters|snowdepth|2023-04-12 11|0.000|cm|05841|
VT-OG-14|BRADFORD 2.2 NNW, VT|44.02268|-72.14756|345 meters|snowdepth|2023-04-12 10|0.000|cm|05033|
VT-LM-1|STOWE 0.2 SW, VT|44.46399|-72.69070|225 meters|snowdepth|2023-04-12 11|0.000|cm|05672|
VT-FR-26|ENOSBURG FALLS 2.5 N, VT|44.94470|-72.79690|192 meters|snowdepth|2023-04-12 11|0.000|cm|05450|
VT-FR-21|FAIRFAX 4.9 WNW, VT|44.68880|-73.10340|122 meters|snowdepth|2023-04-12 13|0.000|cm|05454|
VT-ES-3|LUNENBURG 2.3 NNW, VT|44.49324|-71.70446|449 meters|snowdepth|2023-04-12 09|0.000|cm|05906|
VT-CL-44|DANVILLE 3.1 NNE, VT|44.45469|-72.12516|377 meters|snowdepth|2023-04-12 11|0.000|cm|05828|
VT-CL-23|RYEGATE 1.5 N, VT|44.23024|-72.10523|368 meters|snowdepth|2023-04-12 11|0.000|cm|05042|
VT-CL-14|LYNDONVILLE 1.1 W, VT|44.53582|-72.02867|320 meters|snowdepth|2023-04-12 11|0.000|cm|05851|
VT-CH-7|HUNTINGTON 1.1 E, VT|44.32488|-72.96570|295 meters|snowdepth|2023-04-12 11|0.000|cm|05462|
VT-CH-57|UNDERHILL 3.6 ESE, VT|44.50112|-72.88108|336 meters|snowdepth|2023-04-12 11|0.000|cm|05489|
VT-CH-47|SOUTH BURLINGTON 2.6 SSW, VT|44.42027|-73.19242|110 meters|snowdepth|2023-04-12 11|0.000|cm|05403|
VT-CH-4|UNDERHILL 4.4 NNE, VT|44.58774|-72.92250|291 meters|snowdepth|2023-04-12 11|0.000|cm|05489|
VT-CH-38|WILLISTON 0.2 WSW, VT|44.43669|-73.07154|159 meters|snowdepth|2023-04-12 11|0.000|cm|05495|
VT-CH-11|UNDERHILL 5.1 NNE, VT|44.59811|-72.91880|282 meters|snowdepth|2023-04-12 11|0.000|cm|05489|
