"STATION","NAME","DATE","SNWD"
"USC00273535","GRAY KNOB, NH US","2020-12-14","13.0"
"USC00273535","GRAY KNOB, NH US","2020-12-15","13.0"
"USC00273535","GRAY KNOB, NH US","2020-12-16","13.0"
"USC00273535","GRAY KNOB, NH US","2020-12-17","13.0"
"USC00273535","GRAY KNOB, NH US","2020-12-18","17.0"
"USC00273535","GRAY KNOB, NH US","2020-12-19","17.0"
"USC00273535","GRAY KNOB, NH US","2020-12-20","17.0"
"USC00273535","GRAY KNOB, NH US","2020-12-22","17.0"
"USC00273535","GRAY KNOB, NH US","2020-12-23","19.0"
"USC00273535","GRAY KNOB, NH US","2020-12-24","18.0"
"USC00273535","GRAY KNOB, NH US","2020-12-25","7.0"
"USC00273535","GRAY KNOB, NH US","2020-12-26","0.0"
"USC00273535","GRAY KNOB, NH US","2020-12-27","1.0"
"USC00273535","GRAY KNOB, NH US","2020-12-28","1.0"
"USC00273535","GRAY KNOB, NH US","2020-12-29","4.0"
"USC00273535","GRAY KNOB, NH US","2020-12-30","5.0"
"USC00273535","GRAY KNOB, NH US","2020-12-31","8.0"
"USC00273535","GRAY KNOB, NH US","2021-01-01","11.0"
"USC00273535","GRAY KNOB, NH US","2021-01-02","9.0"
"USC00273535","GRAY KNOB, NH US","2021-01-03","11.0"
"USC00273535","GRAY KNOB, NH US","2021-01-04","11.0"
"USC00273535","GRAY KNOB, NH US","2021-01-05","11.0"
"USC00273535","GRAY KNOB, NH US","2021-01-06","12.0"
"USC00273535","GRAY KNOB, NH US","2021-01-07","11.0"
"USC00273535","GRAY KNOB, NH US","2021-01-08","11.0"
"USC00273535","GRAY KNOB, NH US","2021-01-09","11.0"
"USC00273535","GRAY KNOB, NH US","2021-01-10","11.0"
"USC00273535","GRAY KNOB, NH US","2021-01-11","11.0"
"USC00273535","GRAY KNOB, NH US","2021-01-12","11.0"
"USC00273535","GRAY KNOB, NH US","2021-01-13","11.0"
"USC00273535","GRAY KNOB, NH US","2021-01-14","11.0"
"USC00273535","GRAY KNOB, NH US","2021-01-15","11.0"
"USC00273535","GRAY KNOB, NH US","2021-01-16","11.0"
