"STATION","NAME","DATE","SNWD"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-11","26.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-17","32.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-18","33.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-19","30.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-20","30.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-21","30.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-22","30.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-23","30.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-24","30.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-25","31.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-26","31.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-27","30.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-28","30.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-29","30.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-30","48.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2016-12-31","50.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-01","51.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-02","49.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-03","48.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-04","53.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-05","53.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-06","54.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-07","51.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-08","51.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-09","50.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-10","49.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-11","54.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-12","53.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-13","47.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-14","47.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-15","47.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-16","46.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-17","46.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-18","50.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-19","52.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-20","51.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-21","51.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-22","50.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-23","50.0"
"USC00273860","HERMIT LAKE SNOWPLOT, NH US","2017-01-24","53.0"
